time_stats.moe_gating_linear.min,time_stats.moe_gating_linear.max,time_stats.moe_gating_linear.mean,time_stats.moe_gating_linear.median,time_stats.moe_gating_linear.std,time_stats.moe_gating_linear.count,time_stats.moe_gating_routing_topk.min,time_stats.moe_gating_routing_topk.max,time_stats.moe_gating_routing_topk.mean,time_stats.moe_gating_routing_topk.median,time_stats.moe_gating_routing_topk.std,time_stats.moe_gating_routing_topk.count,time_stats.moe_shuffling.min,time_stats.moe_shuffling.max,time_stats.moe_shuffling.mean,time_stats.moe_shuffling.median,time_stats.moe_shuffling.std,time_stats.moe_shuffling.count,time_stats.moe_grouped_gemm.min,time_stats.moe_grouped_gemm.max,time_stats.moe_grouped_gemm.mean,time_stats.moe_grouped_gemm.median,time_stats.moe_grouped_gemm.std,time_stats.moe_grouped_gemm.count,num_tokens,num_experts,num_experts_per_device,expert_parallel_size,routing_runtime_path,routing_assignment_policy,routing_weight_policy,routing_uses_router_logits,gating_runtime_context,gating_runtime_context_impl,router_topk,hidden_dim,expert_hidden_dim,use_gated,num_tensor_parallel_workers,total_routed_tokens,model_expansion_ratio,tokens_per_expert_avg,tokens_to_experts_ratio,expert_utilization,min_load_ratio,load_imbalance_cv,max_load_ratio,load_entropy,load_gini_coefficient,load_distribution,seed,moe_grouped_gemm_backend,measurement_type,profiling_precision,model_arch,model_architecture_profile,quant_signature
0.0071589999999999996,0.0071589999999999996,0.0071589999999999996,0.0071589999999999996,0.0,1,0.008239000000000002,0.008239000000000002,0.008239000000000002,0.008239000000000002,0.0,1,0.009078,0.009078,0.009078,0.009078,0.0,1,0.19415700000000002,0.207236,0.1986927,0.1975965,0.002973269212499938,20,32,128,128,1,standard_fused_topk,logit_topk,softmax_renorm,True,standalone_legacy,none,8,2048,768,True,1,256,0.375,2.0,2.0,0.8671875,0.0,0.673145600891813,3.0,6.611033548154109,0.373291015625,uniform,0,vllm_fused,KERNEL_ONLY,BF16,generic,generic,none
0.006599000000000001,0.006599000000000001,0.006599000000000001,0.006599000000000001,0.0,1,0.007679,0.007679,0.007679,0.007679,0.0,1,0.008358,0.008358,0.008358,0.008358,0.0,1,0.191637,0.19991699999999998,0.19538669999999997,0.1950565,0.0024154118096092886,20,32,128,128,1,standard_fused_topk,logit_topk,softmax_renorm,True,standalone_legacy,none,8,2048,768,True,1,256,0.375,2.0,2.0,0.84375,0.0,0.7207851621669248,3.0,6.5589047280680814,0.39886474609375,uniform,1,vllm_fused,KERNEL_ONLY,BF16,generic,generic,none
0.005759,0.005759,0.005759,0.005759,0.0,1,0.007679,0.007679,0.007679,0.007679,0.0,1,0.008317999999999999,0.008317999999999999,0.008317999999999999,0.008317999999999999,0.0,1,0.19451600000000002,0.209997,0.19871065000000002,0.19699650000000002,0.003889283742220407,20,32,128,128,1,standard_fused_topk,logit_topk,softmax_renorm,True,standalone_legacy,none,8,2048,768,True,1,256,0.375,2.0,2.0,0.8671875,0.0,0.6931585316505886,3.5,6.60801150168535,0.37054443359375,uniform,2,vllm_fused,KERNEL_ONLY,BF16,generic,generic,none
0.005719,0.005719,0.005719,0.005719,0.0,1,0.007719,0.007719,0.007719,0.007719,0.0,1,0.008358,0.008358,0.008358,0.008358,0.0,1,0.19263600000000003,0.203437,0.19803275,0.19797700000000001,0.002735060911113314,20,31,128,128,1,standard_fused_topk,logit_topk,softmax_renorm,True,standalone_legacy,none,8,2048,768,True,1,248,0.375,1.9375,1.9375,0.859375,0.0,0.6820120810279346,3.096774193548387,6.598428432543006,0.37770917338709675,uniform,0,vllm_fused,KERNEL_ONLY,BF16,generic,generic,none
0.005799,0.005799,0.005799,0.005799,0.0,1,0.007918999999999999,0.007918999999999999,0.007918999999999999,0.007918999999999999,0.0,1,0.008398,0.008398,0.008398,0.008398,0.0,1,0.190876,0.201117,0.1952807,0.19491600000000003,0.00232231923085522,20,31,128,128,1,standard_fused_topk,logit_topk,softmax_renorm,True,standalone_legacy,none,8,2048,768,True,1,248,0.375,1.9375,1.9375,0.84375,0.0,0.7176966277834512,3.096774193548387,6.561411574015607,0.39711441532258074,uniform,1,vllm_fused,KERNEL_ONLY,BF16,generic,generic,none
0.005639000000000001,0.005639000000000001,0.005639000000000001,0.005639000000000001,0.0,1,0.007599000000000001,0.007599000000000001,0.007599000000000001,0.007599000000000001,0.0,1,0.008278,0.008278,0.008278,0.008278,0.0,1,0.191117,0.20375700000000002,0.19728269999999998,0.19721650000000002,0.003513024880355966,20,31,128,128,1,standard_fused_topk,logit_topk,softmax_renorm,True,standalone_legacy,none,8,2048,768,True,1,248,0.375,1.9375,1.9375,0.8515625,0.0,0.7000817552971196,3.6129032258064515,6.590457011551798,0.37581905241935476,uniform,2,vllm_fused,KERNEL_ONLY,BF16,generic,generic,none
0.005759,0.005759,0.005759,0.005759,0.0,1,0.007719,0.007719,0.007719,0.007719,0.0,1,0.008317999999999999,0.008317999999999999,0.008317999999999999,0.008317999999999999,0.0,1,0.189756,0.19991699999999998,0.1940707,0.193857,0.002759481221171836,20,30,128,128,1,standard_fused_topk,logit_topk,softmax_renorm,True,standalone_legacy,none,8,2048,768,True,1,240,0.375,1.875,1.875,0.84375,0.0,0.7055336829505575,3.2,6.570554517716213,0.38990885416666665,uniform,0,vllm_fused,KERNEL_ONLY,BF16,generic,generic,none
0.005719,0.005719,0.005719,0.005719,0.0,1,0.008279,0.008279,0.008279,0.008279,0.0,1,0.008278,0.008278,0.008278,0.008278,0.0,1,0.189396,0.197517,0.19349875000000002,0.19413650000000002,0.0021890699366397615,20,30,128,128,1,standard_fused_topk,logit_topk,softmax_renorm,True,standalone_legacy,none,8,2048,768,True,1,240,0.375,1.875,1.875,0.8359375,0.0,0.7118052168020874,2.6666666666666665,6.560449128459913,0.39427083333333335,uniform,1,vllm_fused,KERNEL_ONLY,BF16,generic,generic,none
0.005759,0.005759,0.005759,0.005759,0.0,1,0.007839,0.007839,0.007839,0.007839,0.0,1,0.008358,0.008358,0.008358,0.008358,0.0,1,0.18671700000000002,0.202397,0.1923767,0.19199700000000003,0.00399470552231325,20,30,128,128,1,standard_fused_topk,logit_topk,softmax_renorm,True,standalone_legacy,none,8,2048,768,True,1,240,0.375,1.875,1.875,0.828125,0.0,0.7149203529842405,3.2,6.558135976150212,0.38899739583333326,uniform,2,vllm_fused,KERNEL_ONLY,BF16,generic,generic,none
0.005719,0.005719,0.005719,0.005719,0.0,1,0.007719,0.007719,0.007719,0.007719,0.0,1,0.008317999999999999,0.008317999999999999,0.008317999999999999,0.008317999999999999,0.0,1,0.185917,0.19711700000000001,0.19108070000000005,0.19073600000000002,0.0034519899492901187,20,29,128,128,1,standard_fused_topk,logit_topk,softmax_renorm,True,standalone_legacy,none,8,2048,768,True,1,232,0.375,1.8125,1.8125,0.8203125,0.0,0.7355423795759153,3.310344827586207,6.530542326254615,0.40625,uniform,0,vllm_fused,KERNEL_ONLY,BF16,generic,generic,none
