,rank,num_workers,size,collective,devices_per_node,max_devices_per_node,profiling_precision
125,0,2,1026048,send_recv,2,8,BF16
126,0,2,1034240,send_recv,2,8,BF16
127,0,2,1042432,send_recv,2,8,BF16
128,0,2,1048576,send_recv,2,8,BF16
129,0,2,1081344,send_recv,2,8,BF16
130,0,2,1114112,send_recv,2,8,BF16
131,0,2,1146880,send_recv,2,8,BF16
132,0,2,1179648,send_recv,2,8,BF16
133,0,2,1212416,send_recv,2,8,BF16
134,0,2,1245184,send_recv,2,8,BF16
135,0,2,1277952,send_recv,2,8,BF16
136,0,2,1310720,send_recv,2,8,BF16
137,0,2,1343488,send_recv,2,8,BF16
138,0,2,1376256,send_recv,2,8,BF16
139,0,2,1409024,send_recv,2,8,BF16
140,0,2,1441792,send_recv,2,8,BF16
141,0,2,1474560,send_recv,2,8,BF16
142,0,2,1507328,send_recv,2,8,BF16
143,0,2,1540096,send_recv,2,8,BF16
144,0,2,1572864,send_recv,2,8,BF16
145,0,2,1605632,send_recv,2,8,BF16
146,0,2,1638400,send_recv,2,8,BF16
147,0,2,1671168,send_recv,2,8,BF16
148,0,2,1703936,send_recv,2,8,BF16
149,0,2,1736704,send_recv,2,8,BF16
150,0,2,1769472,send_recv,2,8,BF16
151,0,2,1802240,send_recv,2,8,BF16
152,0,2,1835008,send_recv,2,8,BF16
153,0,2,1867776,send_recv,2,8,BF16
154,0,2,1900544,send_recv,2,8,BF16
155,0,2,1933312,send_recv,2,8,BF16
156,0,2,1966080,send_recv,2,8,BF16
157,0,2,1998848,send_recv,2,8,BF16
158,0,2,2031616,send_recv,2,8,BF16
159,0,2,2064384,send_recv,2,8,BF16
160,0,2,2097152,send_recv,2,8,BF16
161,0,2,2129920,send_recv,2,8,BF16
162,0,2,2162688,send_recv,2,8,BF16
163,0,2,2195456,send_recv,2,8,BF16
164,0,2,2228224,send_recv,2,8,BF16
165,0,2,2260992,send_recv,2,8,BF16
166,0,2,2293760,send_recv,2,8,BF16
167,0,2,2326528,send_recv,2,8,BF16
168,0,2,2359296,send_recv,2,8,BF16
169,0,2,2392064,send_recv,2,8,BF16
170,0,2,2424832,send_recv,2,8,BF16
171,0,2,2457600,send_recv,2,8,BF16
172,0,2,2490368,send_recv,2,8,BF16
173,0,2,2523136,send_recv,2,8,BF16
174,0,2,2555904,send_recv,2,8,BF16
175,0,2,2588672,send_recv,2,8,BF16
176,0,2,2621440,send_recv,2,8,BF16
177,0,2,2654208,send_recv,2,8,BF16
178,0,2,2686976,send_recv,2,8,BF16
179,0,2,2719744,send_recv,2,8,BF16
180,0,2,2752512,send_recv,2,8,BF16
181,0,2,2785280,send_recv,2,8,BF16
182,0,2,2818048,send_recv,2,8,BF16
183,0,2,2850816,send_recv,2,8,BF16
184,0,2,2883584,send_recv,2,8,BF16
185,0,2,2916352,send_recv,2,8,BF16
186,0,2,2949120,send_recv,2,8,BF16
187,0,2,2981888,send_recv,2,8,BF16
188,0,2,3014656,send_recv,2,8,BF16
189,0,2,3047424,send_recv,2,8,BF16
190,0,2,3080192,send_recv,2,8,BF16
191,0,2,3112960,send_recv,2,8,BF16
192,0,2,3145728,send_recv,2,8,BF16
193,0,2,3178496,send_recv,2,8,BF16
194,0,2,3211264,send_recv,2,8,BF16
195,0,2,3244032,send_recv,2,8,BF16
196,0,2,3276800,send_recv,2,8,BF16
197,0,2,3309568,send_recv,2,8,BF16
198,0,2,3342336,send_recv,2,8,BF16
199,0,2,3375104,send_recv,2,8,BF16
200,0,2,3407872,send_recv,2,8,BF16
201,0,2,3440640,send_recv,2,8,BF16
202,0,2,3473408,send_recv,2,8,BF16
203,0,2,3506176,send_recv,2,8,BF16
204,0,2,3538944,send_recv,2,8,BF16
205,0,2,3571712,send_recv,2,8,BF16
206,0,2,3604480,send_recv,2,8,BF16
207,0,2,3637248,send_recv,2,8,BF16
208,0,2,3670016,send_recv,2,8,BF16
209,0,2,3702784,send_recv,2,8,BF16
210,0,2,3735552,send_recv,2,8,BF16
211,0,2,3768320,send_recv,2,8,BF16
212,0,2,3801088,send_recv,2,8,BF16
213,0,2,3833856,send_recv,2,8,BF16
214,0,2,3866624,send_recv,2,8,BF16
215,0,2,3899392,send_recv,2,8,BF16
216,0,2,3932160,send_recv,2,8,BF16
217,0,2,3964928,send_recv,2,8,BF16
218,0,2,3997696,send_recv,2,8,BF16
219,0,2,4030464,send_recv,2,8,BF16
220,0,2,4063232,send_recv,2,8,BF16
221,0,2,4096000,send_recv,2,8,BF16
222,0,2,4128768,send_recv,2,8,BF16
223,0,2,4161536,send_recv,2,8,BF16
224,0,2,4194304,send_recv,2,8,BF16
225,0,2,4227072,send_recv,2,8,BF16
226,0,2,4259840,send_recv,2,8,BF16
227,0,2,4292608,send_recv,2,8,BF16
228,0,2,4325376,send_recv,2,8,BF16
229,0,2,4358144,send_recv,2,8,BF16
230,0,2,4390912,send_recv,2,8,BF16
231,0,2,4423680,send_recv,2,8,BF16
232,0,2,4456448,send_recv,2,8,BF16
233,0,2,4489216,send_recv,2,8,BF16
234,0,2,4521984,send_recv,2,8,BF16
235,0,2,4554752,send_recv,2,8,BF16
236,0,2,4587520,send_recv,2,8,BF16
237,0,2,4620288,send_recv,2,8,BF16
238,0,2,4653056,send_recv,2,8,BF16
239,0,2,4685824,send_recv,2,8,BF16
240,0,2,4718592,send_recv,2,8,BF16
241,0,2,4751360,send_recv,2,8,BF16
242,0,2,4784128,send_recv,2,8,BF16
243,0,2,4816896,send_recv,2,8,BF16
244,0,2,4849664,send_recv,2,8,BF16
245,0,2,4882432,send_recv,2,8,BF16
246,0,2,4915200,send_recv,2,8,BF16
247,0,2,4947968,send_recv,2,8,BF16
248,0,2,4980736,send_recv,2,8,BF16
249,0,2,5013504,send_recv,2,8,BF16
250,0,2,5046272,send_recv,2,8,BF16
251,0,2,5079040,send_recv,2,8,BF16
252,0,2,5111808,send_recv,2,8,BF16
253,0,2,5144576,send_recv,2,8,BF16
254,0,2,5177344,send_recv,2,8,BF16
255,0,2,5210112,send_recv,2,8,BF16
256,0,2,5242880,send_recv,2,8,BF16
257,0,2,5275648,send_recv,2,8,BF16
258,0,2,5308416,send_recv,2,8,BF16
259,0,2,5341184,send_recv,2,8,BF16
260,0,2,5373952,send_recv,2,8,BF16
261,0,2,5406720,send_recv,2,8,BF16
262,0,2,5439488,send_recv,2,8,BF16
263,0,2,5472256,send_recv,2,8,BF16
264,0,2,5505024,send_recv,2,8,BF16
265,0,2,5537792,send_recv,2,8,BF16
266,0,2,5570560,send_recv,2,8,BF16
267,0,2,5603328,send_recv,2,8,BF16
268,0,2,5636096,send_recv,2,8,BF16
269,0,2,5668864,send_recv,2,8,BF16
270,0,2,5701632,send_recv,2,8,BF16
271,0,2,5734400,send_recv,2,8,BF16
272,0,2,5767168,send_recv,2,8,BF16
273,0,2,5799936,send_recv,2,8,BF16
274,0,2,5832704,send_recv,2,8,BF16
275,0,2,5865472,send_recv,2,8,BF16
276,0,2,5898240,send_recv,2,8,BF16
