,rank,num_workers,size,collective,devices_per_node,max_devices_per_node,profiling_precision
136,0,8,1310720,all_reduce,8,8,BF16
137,0,8,1343488,all_reduce,8,8,BF16
138,0,8,1376256,all_reduce,8,8,BF16
139,0,8,1409024,all_reduce,8,8,BF16
140,0,8,1441792,all_reduce,8,8,BF16
141,0,8,1474560,all_reduce,8,8,BF16
142,0,8,1507328,all_reduce,8,8,BF16
143,0,8,1540096,all_reduce,8,8,BF16
144,0,8,1572864,all_reduce,8,8,BF16
145,0,8,1605632,all_reduce,8,8,BF16
146,0,8,1638400,all_reduce,8,8,BF16
147,0,8,1671168,all_reduce,8,8,BF16
148,0,8,1703936,all_reduce,8,8,BF16
149,0,8,1736704,all_reduce,8,8,BF16
150,0,8,1769472,all_reduce,8,8,BF16
151,0,8,1802240,all_reduce,8,8,BF16
152,0,8,1835008,all_reduce,8,8,BF16
153,0,8,1867776,all_reduce,8,8,BF16
154,0,8,1900544,all_reduce,8,8,BF16
155,0,8,1933312,all_reduce,8,8,BF16
156,0,8,1966080,all_reduce,8,8,BF16
157,0,8,1998848,all_reduce,8,8,BF16
158,0,8,2031616,all_reduce,8,8,BF16
159,0,8,2064384,all_reduce,8,8,BF16
160,0,8,2097152,all_reduce,8,8,BF16
161,0,8,2129920,all_reduce,8,8,BF16
162,0,8,2162688,all_reduce,8,8,BF16
163,0,8,2195456,all_reduce,8,8,BF16
164,0,8,2228224,all_reduce,8,8,BF16
165,0,8,2260992,all_reduce,8,8,BF16
166,0,8,2293760,all_reduce,8,8,BF16
167,0,8,2326528,all_reduce,8,8,BF16
168,0,8,2359296,all_reduce,8,8,BF16
169,0,8,2392064,all_reduce,8,8,BF16
170,0,8,2424832,all_reduce,8,8,BF16
171,0,8,2457600,all_reduce,8,8,BF16
172,0,8,2490368,all_reduce,8,8,BF16
173,0,8,2523136,all_reduce,8,8,BF16
174,0,8,2555904,all_reduce,8,8,BF16
175,0,8,2588672,all_reduce,8,8,BF16
