time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_input_reshape.count,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_kv_cache_save.count,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_prefill.count,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_decode.count,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,time_stats.attn_output_reshape.count,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend,is_mixed_batch,mode,seq_lens,total_tokens,max_seq_len,min_seq_len,avg_seq_len,equal_seq_len,seq_len_variance,seq_len_std,seq_len_cv,is_chunked_prefill_sample,chunk_start_token,chunk_end_token,total_prefill_tokens,profiling_precision,measurement_type,model_arch,model_architecture_profile,quant_signature
0.0014720000326633453,0.013311999849975109,0.0038528000004589558,0.0015040000434964895,0.004729621575603091,5,0.0791039988398552,0.09331200271844864,0.08211200088262557,0.07932800054550171,0.005601555011397923,5,1.7859519720077515,1.7968000173568726,1.7904895782470702,1.7882239818572998,0.0040697034923404185,5,0.0013760000001639128,0.0017920000245794654,0.0014784000115469099,0.0013760000001639128,0.00016114789163835987,5,0.0014720000326633453,0.0015040000434964895,0.0014976000413298607,0.0015040000434964895,1.2800004333257675e-05,5,2048,32,4,32,1,9216,1,9216,0,True,FLASHINFER,False,even,[9216],9216,9216,9216,9216.0,9216,0.0,0.0,0.0,False,0,9216,9216,BF16,CUDA_EVENT,generic,generic,none
0.010495999827980995,0.014751999638974667,0.011667199991643428,0.010975999757647514,0.0015638277641770017,5,0.01958400011062622,0.024000000208616257,0.02109440043568611,0.020640000700950623,0.0015157869452978923,5,0.045152001082897186,0.05299200117588043,0.047404800355434415,0.04630399867892265,0.0028504513021186304,5,0.007679999805986881,0.008287999778985977,0.00796159990131855,0.007840000092983246,0.00022573037671991684,5,0.009855999611318111,0.01071999967098236,0.010207999870181084,0.01017600018531084,0.0002876441770206931,5,2048,32,4,32,1,9216,1,32,0,True,FLASHINFER,False,even,[32],32,32,32,32.0,32,0.0,0.0,0.0,False,0,32,32,BF16,CUDA_EVENT,generic,generic,none
0.010591999627649784,0.011872000060975552,0.01109119988977909,0.011008000001311302,0.0004305636793119335,5,0.019840000197291374,0.021983999758958817,0.02072960026562214,0.020640000700950623,0.0008194496901105848,5,0.045343998819589615,0.048928000032901764,0.046342399716377256,0.04569600149989128,0.0013396349575279483,5,0.007648000027984381,0.00848000030964613,0.008089600037783385,0.0081599997356534,0.0003163958294481071,5,0.00979200005531311,0.010495999827980995,0.010067199915647506,0.010015999898314476,0.0002391236401290687,5,2048,32,4,32,1,9216,1,64,0,True,FLASHINFER,False,even,[64],64,64,64,64.0,64,0.0,0.0,0.0,False,0,64,64,BF16,CUDA_EVENT,generic,generic,none
0.010591999627649784,0.012512000277638435,0.011289599910378456,0.011103999800980091,0.0006615261885600851,5,0.019711999222636223,0.021856000646948814,0.02045439966022968,0.02022399939596653,0.000745099030447974,5,0.045184001326560974,0.04902400076389313,0.0461824007332325,0.04566400125622749,0.0014398434197557132,5,0.007552000228315592,0.008352000266313553,0.00780800012871623,0.00774399982765317,0.0002939823409544975,5,0.009216000325977802,0.010143999941647053,0.009644800052046775,0.009664000011980534,0.0003126187294556114,5,2048,32,4,32,1,9216,1,96,0,True,FLASHINFER,False,even,[96],96,96,96,96.0,96,0.0,0.0,0.0,False,0,96,96,BF16,CUDA_EVENT,generic,generic,none
0.01065600011497736,0.01142400037497282,0.010988800041377544,0.010912000201642513,0.00025487759978341286,5,0.019648000597953796,0.02191999927163124,0.02060160003602505,0.02035200037062168,0.0007592565233788905,5,0.0453759990632534,0.05395200103521347,0.047488000243902206,0.04598399996757507,0.0032537568870277173,5,0.007807999849319458,0.01369599997997284,0.0091839998960495,0.008191999979317188,0.002262560714720387,5,0.009568000212311745,0.011327999643981457,0.010092799924314022,0.009855999611318111,0.000628895510297397,5,2048,32,4,32,1,9216,1,128,0,True,FLASHINFER,False,even,[128],128,128,128,128.0,128,0.0,0.0,0.0,False,0,128,128,BF16,CUDA_EVENT,generic,generic,none
0.010463999584317207,0.011487999930977821,0.011046399921178817,0.011136000044643879,0.0003868694281652236,5,0.019711999222636223,0.02160000056028366,0.0204864002764225,0.020160000771284103,0.0006771312663771796,5,0.045471999794244766,0.048895999789237976,0.04679680019617081,0.0461760014295578,0.0012147527205801862,5,0.007455999962985516,0.007872000336647034,0.0076800000853836535,0.0077760000713169575,0.0001729185019715376,5,0.009759999811649323,0.011680000461637974,0.010252800025045871,0.009952000342309475,0.0007177139247457832,5,2048,32,4,32,1,9216,1,160,0,True,FLASHINFER,False,even,[160],160,160,160,160.0,160,0.0,0.0,0.0,False,0,160,160,BF16,CUDA_EVENT,generic,generic,none
0.01071999967098236,0.011776000261306763,0.011052800156176091,0.010912000201642513,0.0003702056689152292,5,0.019680000841617584,0.021695999428629875,0.020652800053358077,0.020800000056624413,0.0006701991317103212,5,0.04492799937725067,0.04912000149488449,0.046668799966573714,0.04636799916625023,0.0015702319911991532,5,0.007935999892652035,0.00863999966531992,0.008217599987983704,0.008224000222980976,0.00023723195530733578,5,0.009759999811649323,0.01017600018531084,0.009894399903714657,0.009855999611318111,0.00015333325831406414,5,2048,32,4,32,1,9216,1,192,0,True,FLASHINFER,False,even,[192],192,192,192,192.0,192,0.0,0.0,0.0,False,0,192,192,BF16,CUDA_EVENT,generic,generic,none
0.010784000158309937,0.011872000060975552,0.011180800013244152,0.010975999757647514,0.00041159524546925495,5,0.01990400068461895,0.021856000646948814,0.020518400147557257,0.02035200037062168,0.0007067294715717942,5,0.04479999840259552,0.050944000482559204,0.046879999339580536,0.04531199857592583,0.0024008110347072337,5,0.007807999849319458,0.009119999594986439,0.00820479989051819,0.008031999692320824,0.00046750661619420663,5,0.009503999724984169,0.010623999871313572,0.009958399832248688,0.009855999611318111,0.0003684310682291875,5,2048,32,4,32,1,9216,1,224,0,True,FLASHINFER,False,even,[224],224,224,224,224.0,224,0.0,0.0,0.0,False,0,224,224,BF16,CUDA_EVENT,generic,generic,none
0.010623999871313572,0.012512000277638435,0.011385600268840789,0.011168000288307667,0.0006599763290491073,5,0.0197759997099638,0.021088000386953354,0.020172800123691558,0.019999999552965164,0.0004696921292253947,5,0.044256001710891724,0.04838399961590767,0.04613120034337044,0.046431999653577805,0.0014425715489866247,5,0.007840000092983246,0.00863999966531992,0.0081343999132514,0.007935999892652035,0.00031051541896170076,5,0.009759999811649323,0.010623999871313572,0.010175999999046326,0.010048000141978264,0.00032946008608379244,5,2048,32,4,32,1,9216,1,256,0,True,FLASHINFER,False,even,[256],256,256,256,256.0,256,0.0,0.0,0.0,False,0,256,256,BF16,CUDA_EVENT,generic,generic,none
0.010751999914646149,0.011487999930977821,0.01106560006737709,0.01104000024497509,0.00025391150321524075,5,0.019551999866962433,0.021056000143289566,0.020134400203824045,0.02006400004029274,0.0005613790118664087,5,0.044863998889923096,0.04854400083422661,0.04598399996757507,0.04531199857592583,0.0013303694419152428,5,0.007360000163316727,0.008224000222980976,0.0077760000713169575,0.007679999805986881,0.0003823967431921686,5,0.009344000369310379,0.010304000228643417,0.009734400175511837,0.009472000412642956,0.0004049738155756773,5,2048,32,4,32,1,9216,1,288,0,True,FLASHINFER,False,even,[288],288,288,288,288.0,288,0.0,0.0,0.0,False,0,288,288,BF16,CUDA_EVENT,generic,generic,none
