time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_input_reshape.count,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_kv_cache_save.count,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_prefill.count,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_decode.count,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,time_stats.attn_output_reshape.count,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,attention_backend,prefill_seq_lens,prefill_kv_cache_sizes,decode_kv_cache_sizes,num_prefill_seqs,num_decode_seqs,decode_batch_size,total_batch_size,total_prefill_tokens,total_decode_tokens,total_tokens,decode_avg_kv_cache_size,batch_composition_ratio,mode,is_true_mixed_batch,is_mixed_batch,is_prefill,batch_size,prefill_chunk_size,kv_cache_size,is_chunked_prefill_sample,chunk_start_token,chunk_end_token,profiling_precision,measurement_type,model_arch,model_architecture_profile,quant_signature
0.010143999941647053,0.012032000347971916,0.010617600008845329,0.01027199998497963,0.0007107748402810426,5,0.01958400011062622,0.02175999991595745,0.020256000384688378,0.019872000440955162,0.0008011509779784319,5,0.04403200000524521,0.05507199838757515,0.04827519953250885,0.04492799937725067,0.004849730073319414,5,0.03711999952793121,0.03920000046491623,0.037907200306653975,0.037696000188589096,0.0006945108734496508,5,0.009375999681651592,0.010239999741315842,0.009759999811649323,0.00979200005531311,0.00030357868942940857,5,2048,32,4,1,1,9216,FLASHINFER,[64],[0],[128],1,1,1,2,64,1,65,128,0.5,true_mixed,True,False,True,2,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.009759999811649323,0.011648000217974186,0.010348800010979176,0.010111999697983265,0.0006640598689578425,5,0.019519999623298645,0.02163200080394745,0.02003839984536171,0.019711999222636223,0.0008025308644531581,5,0.043776001781225204,0.050303999334573746,0.045760000497102736,0.045184001326560974,0.0023360433234884677,5,0.03683200106024742,0.038656000047922134,0.0375231996178627,0.037087999284267426,0.0006989197640325238,5,0.009184000082314014,0.009920000098645687,0.009491200000047684,0.009375999681651592,0.00025164303286221145,5,2048,32,4,1,1,9216,FLASHINFER,[64],[0],[256],1,1,1,2,64,1,65,256,0.5,true_mixed,True,False,True,2,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.009983999654650688,0.011872000060975552,0.010540799982845784,0.01017600018531084,0.0007076560386147499,5,0.019807999953627586,0.020767999812960625,0.02014720030128956,0.02006400004029274,0.00033230715314766583,5,0.044224001467227936,0.0488319993019104,0.04577919989824295,0.04476799815893173,0.0017710317238996854,5,0.03667199984192848,0.039583999663591385,0.0374271996319294,0.03699199855327606,0.0010899934294803044,5,0.009119999594986439,0.010208000428974628,0.009516800194978714,0.009440000168979168,0.00036687150989743147,5,2048,32,4,1,1,9216,FLASHINFER,[64],[0],[512],1,1,1,2,64,1,65,512,0.5,true_mixed,True,False,True,2,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.009664000011980534,0.012768000364303589,0.010540799982845784,0.010015999898314476,0.001134191392491456,5,0.018783999606966972,0.022112000733613968,0.020044800266623496,0.019680000841617584,0.001137256997369048,5,0.04368000105023384,0.04950400069355965,0.045644800364971164,0.044319998472929,0.0021999253350807983,5,0.035999998450279236,0.0398080013692379,0.03728640004992485,0.037087999284267426,0.0013604186642809867,5,0.009312000125646591,0.01017600018531084,0.009580800123512746,0.009535999968647957,0.0003165251594653442,5,2048,32,4,1,1,9216,FLASHINFER,[64],[0],[1024],1,1,1,2,64,1,65,1024,0.5,true_mixed,True,False,True,2,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.00979200005531311,0.011359999887645245,0.01033599991351366,0.010015999898314476,0.0005612328901317554,5,0.019360000267624855,0.021183999255299568,0.01992960013449192,0.01961600035429001,0.0006505998298632481,5,0.044096000492572784,0.04950400069355965,0.04575359970331192,0.04499199986457825,0.0019188693774074292,5,0.036479998379945755,0.03868800029158592,0.037139199674129486,0.03680000081658363,0.0007938583611470726,5,0.008991999551653862,0.009664000011980534,0.00930559989064932,0.009279999881982803,0.0002406606671236178,5,2048,32,4,1,1,9216,FLASHINFER,[64],[0],[2048],1,1,1,2,64,1,65,2048,0.5,true_mixed,True,False,True,2,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.009952000342309475,0.011648000217974186,0.01040639989078045,0.010111999697983265,0.0006353109418845374,5,0.0191040001809597,0.020608000457286835,0.01966719999909401,0.019328000023961067,0.0005518864029062416,5,0.04339199885725975,0.05206400156021118,0.04664959982037544,0.04435199871659279,0.003591273262911775,5,0.036639999598264694,0.03846399858593941,0.037407999485731126,0.03721600025892258,0.0006890031441412174,5,0.008991999551653862,0.009440000168979168,0.00924799982458353,0.009247999638319016,0.00016566007456326912,5,2048,32,4,1,1,9216,FLASHINFER,[64],[0],"[128, 128]",1,2,2,3,64,2,66,128,0.3333333333333333,true_mixed,True,False,True,3,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.009696000255644321,0.011872000060975552,0.010387199930846691,0.010048000141978264,0.0007697579953265167,5,0.01945599913597107,0.02112000063061714,0.020038400217890738,0.019872000440955162,0.0005657400913988844,5,0.043007999658584595,0.046431999653577805,0.044646399468183516,0.04428799822926521,0.0012399168727762254,5,0.03526400029659271,0.0382080003619194,0.0366784006357193,0.036607999354600906,0.0009415615949323428,5,0.008895999751985073,0.00979200005531311,0.009280000068247318,0.009216000325977802,0.00034106657302608665,5,2048,32,4,1,1,9216,FLASHINFER,[64],[0],"[256, 256]",1,2,2,3,64,2,66,256,0.3333333333333333,true_mixed,True,False,True,3,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.010080000385642052,0.011552000418305397,0.010476800240576267,0.010143999941647053,0.0005629090750039833,5,0.019168000668287277,0.02147199958562851,0.020025599747896194,0.0197759997099638,0.0008022749437921069,5,0.04275200143456459,0.0496320016682148,0.04544640034437179,0.04447999969124794,0.002320951298148815,5,0.03657599911093712,0.03884800150990486,0.03731840029358864,0.036768000572919846,0.0008546821733169995,5,0.008832000195980072,0.010239999741315842,0.009497600048780442,0.009568000212311745,0.000548088071974464,5,2048,32,4,1,1,9216,FLASHINFER,[64],[0],"[512, 512]",1,2,2,3,64,2,66,512,0.3333333333333333,true_mixed,True,False,True,3,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.009759999811649323,0.011776000261306763,0.010457600094377994,0.010143999941647053,0.0007524833437200964,5,0.019519999623298645,0.021888000890612602,0.0201664000749588,0.019648000597953796,0.0008979182844214591,5,0.04262400045990944,0.049536000937223434,0.04466560035943985,0.043487999588251114,0.002515159535318554,5,0.035711999982595444,0.03855999931693077,0.037132800370454785,0.03718400001525879,0.0009137888948055836,5,0.008832000195980072,0.009600000455975533,0.009248000010848046,0.009247999638319016,0.00025196827812978893,5,2048,32,4,1,1,9216,FLASHINFER,[64],[0],"[1024, 1024]",1,2,2,3,64,2,66,1024,0.3333333333333333,true_mixed,True,False,True,3,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
0.0098879998549819,0.01152000017464161,0.010662399977445603,0.010623999871313572,0.0006268733293823606,5,0.01945599913597107,0.021023999899625778,0.019884799793362617,0.01961600035429001,0.0005769237740933241,5,0.04297599941492081,0.04886399954557419,0.04481279924511909,0.04438399896025658,0.0021448690317147703,5,0.037248000502586365,0.038336001336574554,0.037753600627183914,0.037728000432252884,0.0004599104363227748,5,0.008960000239312649,0.015456000342965126,0.010617600008845329,0.009440000168979168,0.0024422019063050277,5,2048,32,4,1,1,9216,FLASHINFER,[64],[0],"[2048, 2048]",1,2,2,3,64,2,66,2048,0.3333333333333333,true_mixed,True,False,True,3,0,0,False,0,0,BF16,CUDA_EVENT,generic,generic,none
