time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.emb.count,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.input_layernorm.count,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_pre_proj.count,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_rope.count,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.attn_post_proj.count,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.post_attention_layernorm.count,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_up_proj.count,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_act.count,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.mlp_down_proj.count,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,model_architecture_profile,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature
0.002839,0.003639,0.003252333333333333,0.003239,0.00015483734425067864,21,0.027389000000000004,0.040429,0.03347700000000001,0.033869,0.0038624883171344345,20,0.054303,0.07138300000000002,0.06356900000000001,0.062583,0.006086302982928146,20,0.004319,0.0045190000000000004,0.004430999999999999,0.004439,5.4552726787943564e-05,20,0.008519,0.009079,0.008725,0.008719,0.00016650525517232173,20,0.028469000000000005,0.04354899999999999,0.0349249,0.03412900000000001,0.005152769283598867,20,0.010319000000000002,0.014439,0.01149295,0.011319000000000001,0.0007521099969419364,20,0.004199,0.004639000000000001,0.004389,0.004359,0.0001205819223598632,20,0.009639,0.010159000000000001,0.009853,0.009819000000000001,0.00016212340978402864,20,16,8,1024,3072,151936,True,True,False,160,1,1024,3072,generic,generic,,,KERNEL_ONLY,BF16,none
0.0029590000000000003,0.003519,0.003311333333333334,0.003359,0.0001195002822604092,21,0.027748999999999996,0.05166900000000001,0.03638500000000001,0.033169000000000004,0.007637003600889554,20,0.053983,0.073663,0.064791,0.06548299999999999,0.005576200857214523,20,0.004319,0.005239,0.004545,0.004499,0.0001911125322944573,20,0.008478999999999999,0.008919,0.008747000000000001,0.008739,0.00012655433615645117,20,0.030269000000000004,0.055309,0.03904895,0.035168500000000005,0.0075609151593904285,20,0.010478999999999999,0.011879,0.011586999999999998,0.011639,0.0002845628225893189,20,0.004239,0.004639000000000001,0.004397,0.004379,8.43563868358528e-05,20,0.009599,0.009999000000000001,0.009781000000000001,0.009799,0.00013533661736573759,20,16,8,1024,3072,151936,True,True,False,155,1,1024,3072,generic,generic,,,KERNEL_ONLY,BF16,none
0.002879,0.0034790000000000003,0.00330947619047619,0.003319,0.00013403894922483194,21,0.026949,0.042149,0.031945,0.030429000000000005,0.004190196176791726,20,0.05354300000000001,0.080503,0.06425100000000002,0.065463,0.0065338025681834005,20,0.004319,0.0045590000000000006,0.004465,0.004479,6.23217458035317e-05,20,0.008199,0.008638999999999999,0.008399,0.008319000000000002,0.000145327216996679,20,0.028069000000000004,0.042709,0.0338729,0.030529,0.005275642225359866,20,0.010679000000000001,0.011959,0.011600999999999998,0.011619,0.00026152628930950695,20,0.004239,0.004679,0.004435,0.004419,0.00010031948963187579,20,0.009559,0.009919,0.009735000000000002,0.009679,0.00013469966592386226,20,16,8,1024,3072,151936,True,True,False,150,1,1024,3072,generic,generic,,,KERNEL_ONLY,BF16,none
0.002799,0.0034790000000000003,0.0032466190476190472,0.003239,0.00014108102237821873,21,0.027709,0.042269,0.03204095,0.030649000000000003,0.004128989373624012,20,0.053623,0.076742,0.06482095,0.064763,0.006650149159793338,20,0.004359,0.004799,0.004536999999999999,0.0045190000000000004,0.00010842508934743843,20,0.008279,0.008719,0.008499,0.008459,0.0001546609194334495,20,0.028668999999999997,0.042709,0.03399095,0.031009000000000002,0.004950799152409641,20,0.010799,0.011879,0.011635000000000001,0.011699000000000001,0.0002223150917054443,20,0.004319,0.0045590000000000006,0.004407,0.004399,6.88186021363412e-05,20,0.009559,0.009958999999999999,0.009765,0.009799,0.00013698175060934236,20,16,8,1024,3072,151936,True,True,False,145,1,1024,3072,generic,generic,,,KERNEL_ONLY,BF16,none
0.0029590000000000003,0.003559,0.0032161428571428567,0.003199,0.00012317787591790275,21,0.026989000000000003,0.042509,0.034381,0.033809000000000006,0.004359497218716856,20,0.060223000000000006,0.07402300000000002,0.067923,0.06762300000000002,0.0036565448171737205,20,0.004279,0.004479,0.004379,0.004379,6.387487769068542e-05,20,0.008159000000000001,0.008679000000000001,0.008403,0.008359,0.00013734627770711481,20,0.027828999999999996,0.041989,0.03369295,0.033089,0.004354995114520796,20,0.010759000000000001,0.011799,0.011541,0.011559,0.00021669333169250957,20,0.004239,0.004759,0.0044150000000000005,0.004399,0.00011551623262554938,20,0.009599,0.009999000000000001,0.009816950000000001,0.009799,0.00013412623717975528,20,16,8,1024,3072,151936,True,True,False,140,1,1024,3072,generic,generic,,,KERNEL_ONLY,BF16,none
0.002839,0.003559,0.003273285714285714,0.003279,0.000149811673159891,21,0.028308999999999997,0.041309,0.033304950000000014,0.032069,0.00436354530714418,20,0.056983000000000006,0.073423,0.06701700000000001,0.067423,0.0035305812552609518,20,0.004239,0.004399,0.004319,0.004359,5.6568542494923954e-05,20,0.008159000000000001,0.008599,0.008405000000000001,0.008359,0.0001387227450708785,20,0.027589,0.04334899999999999,0.034256949999999994,0.031648499999999996,0.005327222808133709,20,0.010759000000000001,0.013399,0.01164695,0.011619,0.00045266416635293737,20,0.004239,0.004679,0.004407,0.004399,9.682974749528177e-05,20,0.009559,0.009999000000000001,0.009743000000000002,0.009699,0.00013879481258318,20,16,8,1024,3072,151936,True,True,False,135,1,1024,3072,generic,generic,,,KERNEL_ONLY,BF16,none
0.002839,0.003439,0.0032694761904761903,0.003279,0.00012151724120180255,21,0.026469,0.040149,0.03118695,0.030108999999999997,0.0037288373318636464,20,0.052342999999999994,0.074103,0.06637895,0.066683,0.005041173241171147,20,0.004239,0.0045590000000000006,0.004331000000000001,0.004319,6.705221845696102e-05,20,0.008199,0.008799,0.008453,0.008459,0.00017402298698735116,20,0.027349000000000002,0.042269,0.03349894999999999,0.032849,0.004262931274076559,20,0.010759000000000001,0.013279000000000001,0.011651,0.011578999999999999,0.00043691646798901964,20,0.004199,0.004679,0.004458999999999999,0.004499,0.00012231107881136548,20,0.009479,0.009999000000000001,0.009729000000000002,0.009759,0.00013791301606447487,20,16,8,1024,3072,151936,True,True,False,130,1,1024,3072,generic,generic,,,KERNEL_ONLY,BF16,none
0.002839,0.003559,0.003319,0.003359,0.00013965944975103515,21,0.029109,0.044589000000000004,0.034319,0.033368999999999996,0.004500984336786787,20,0.054662999999999996,0.07226300000000001,0.06482085,0.06464299999999999,0.005648478337348921,20,0.003879,0.004399,0.004277000000000001,0.004279,0.00011133732527773431,20,0.008359,0.010119,0.008647,0.008559,0.00036389009329741305,20,0.029349,0.051269,0.03923499999999999,0.037788999999999996,0.005790188597964663,20,0.010279,0.010839000000000001,0.010517000000000002,0.010499,0.00018481341942618788,20,0.003879,0.004239,0.004021000000000001,0.004019,8.243785538209985e-05,20,0.009919,0.010478999999999999,0.010221000000000001,0.010219,0.00015670354175959108,20,16,8,1024,3072,151936,True,True,False,125,1,1024,3072,generic,generic,,,KERNEL_ONLY,BF16,none
0.002799,0.003439,0.0032656666666666667,0.003279,0.00012848321488792425,21,0.028829,0.036308999999999994,0.03149295,0.030729,0.0019307403884261604,20,0.052863,0.069263,0.06141295,0.06326299999999999,0.004701175070926418,20,0.0045190000000000004,0.004759,0.004613000000000001,0.004599000000000001,7.296574538781866e-05,20,0.008439,0.009079,0.008705000000000001,0.008699,0.000188159506802075,20,0.027749,0.039509,0.03347895,0.034269,0.003678686320889565,20,0.010159000000000001,0.010679000000000001,0.010453,0.010479,0.0001758522106770342,20,0.004079,0.004399,0.004219,0.004199,8.532291603080622e-05,20,0.009799,0.010319000000000002,0.010101,0.010139,0.00015670354175959184,20,16,8,1024,3072,151936,True,True,False,120,1,1024,3072,generic,generic,,,KERNEL_ONLY,BF16,none
0.003079,0.003599,0.003406619047619048,0.003439,0.00014998110236212977,21,0.029148999999999998,0.035749,0.031137000000000005,0.030549,0.0019154153596544017,20,0.053423000000000005,0.07462299999999998,0.06062495,0.059223,0.006135291374295111,20,0.004199,0.004639000000000001,0.004436999999999999,0.004459,0.00010842508934743867,20,0.008279,0.009958999999999999,0.008544999999999999,0.008478999999999999,0.0003506051910625394,20,0.028629,0.043709,0.034541,0.035569,0.0042938393076592885,20,0.009919,0.010639,0.010343000000000001,0.010319000000000002,0.00016414627622946505,20,0.003919,0.004359,0.004103,0.004039,0.00014051334456200234,20,0.009719,0.010239000000000002,0.00995495,0.009919,0.00015736469585011758,20,16,8,1024,3072,151936,True,True,False,115,1,1024,3072,generic,generic,,,KERNEL_ONLY,BF16,none
